ATM_ID,Latitude,Longitude,Maintenance_Cost
ATM001,15.3647,75.1240,1200
ATM002,15.3651,75.1252,1350
ATM003,15.3663,75.1261,1280
ATM004,15.3670,75.1274,1420
ATM005,15.3682,75.1280,1500
ATM006,15.3695,75.1291,1380
ATM007,15.3701,75.1304,1450
ATM008,15.3713,75.1310,1520
ATM009,15.3720,75.1322,1600
ATM010,15.3734,75.1330,1550
ATM011,15.3741,75.1342,1620
ATM012,15.3756,75.1351,1700
ATM013,15.3762,75.1364,1650
ATM014,15.3775,75.1370,1720
ATM015,15.3781,75.1383,1800
ATM016,15.3794,75.1392,1750
ATM017,15.3800,75.1401,1820
ATM018,15.3813,75.1410,1900
ATM019,15.3820,75.1424,1850
ATM020,15.3834,75.1431,1920
ATM021,15.3840,75.1440,1980
ATM022,15.3852,75.1453,2000
ATM023,15.3861,75.1460,1950
ATM024,15.3874,75.1471,2050
ATM025,15.3880,75.1482,2100
ATM026,15.3895,75.1490,2080
ATM027,15.3901,75.1504,2150
ATM028,15.3913,75.1511,2200
ATM029,15.3920,75.1520,2180
ATM030,15.3932,75.1533,2250
ATM031,15.3941,75.1540,2300
ATM032,15.3953,75.1552,2280
ATM033,15.3960,75.1561,2350
ATM034,15.3974,75.1570,2400
ATM035,15.3980,75.1584,2380
ATM036,15.3992,75.1591,2450
ATM037,15.4001,75.1600,2500
ATM038,15.4013,75.1613,2480
ATM039,15.4020,75.1622,2550
ATM040,15.4034,75.1630,2600
ATM041,15.4040,75.1641,2580
ATM042,15.4053,75.1650,2650
ATM043,15.4061,75.1662,2700
ATM044,15.4072,75.1671,2680
ATM045,15.4080,75.1680,2750
ATM046,15.4093,75.1692,2800
ATM047,15.4101,75.1701,2780
ATM048,15.4112,75.1710,2850
ATM049,15.4120,75.1723,2900
ATM050,15.4134,75.1731,2950
ATM051,15.4140,75.1740,2980
ATM052,15.4153,75.1752,3000
ATM053,15.4161,75.1761,3050
ATM054,15.4172,75.1770,3100
ATM055,15.4180,75.1783,3150
ATM056,15.4193,75.1791,3180
ATM057,15.4201,75.1800,3200
ATM058,15.4212,75.1814,3250
ATM059,15.4220,75.1822,3300
ATM060,15.4234,75.1831,3350
ATM061,15.4240,75.1840,3380
ATM062,15.4253,75.1852,3400
ATM063,15.4261,75.1861,3450
ATM064,15.4272,75.1870,3500
ATM065,15.4280,75.1883,3550
ATM066,15.4293,75.1891,3580
ATM067,15.4301,75.1900,3600
ATM068,15.4312,75.1914,3650
ATM069,15.4320,75.1922,3700
ATM070,15.4334,75.1931,3750
ATM071,15.4340,75.1940,3780
ATM072,15.4353,75.1952,3800
ATM073,15.4361,75.1961,3850
ATM074,15.4372,75.1970,3900
ATM075,15.4380,75.1983,3950
ATM076,15.4393,75.1991,3980
ATM077,15.4401,75.2000,4000
ATM078,15.4412,75.2014,4050
ATM079,15.4420,75.2022,4100
ATM080,15.4434,75.2031,4150
ATM081,15.4440,75.2040,4180
ATM082,15.4453,75.2052,4200
ATM083,15.4461,75.2061,4250
ATM084,15.4472,75.2070,4300
ATM085,15.4480,75.2083,4350
ATM086,15.4493,75.2091,4380
ATM087,15.4501,75.2100,4400
ATM088,15.4512,75.2114,4450
ATM089,15.4520,75.2122,4500
ATM090,15.4534,75.2131,4550
ATM091,15.4540,75.2140,4580
ATM092,15.4553,75.2152,4600
ATM093,15.4561,75.2161,4650
ATM094,15.4572,75.2170,4700
ATM095,15.4580,75.2183,4750
ATM096,15.4593,75.2191,4780
ATM097,15.4601,75.2200,4800
ATM098,15.4612,75.2214,4850
ATM099,15.4620,75.2222,4900
ATM100,15.4634,75.2231,4950

