From,To,Distance_km
Beach,LightHouse,2
Beach,Harbor,4
Beach,Museum,6
LightHouse,Harbor,3
LightHouse,Park,5
Harbor,Museum,2
Harbor,Market,4
Museum,Park,3
Market,Park,2
Park,Temple,6
Temple,Market,5
Temple,Beach,7
Beach,Cafe,3
Cafe,Park,4
Cafe,Museum,5
Cafe,Market,6
Hotel,Beach,4
Hotel,Market,3
Hotel,Temple,6
Hotel,Museum,5
Resort,Beach,6
Resort,Park,4
Resort,Temple,3
Resort,Market,5
Station,Hotel,2
Station,Market,4
Station,Museum,3
Station,Park,5
Airport,Hotel,8
Airport,Market,7
Airport,Beach,9
Airport,Resort,6
Zoo,Park,3
Zoo,Museum,4
Zoo,Market,5
Zoo,Temple,6
Aquarium,Beach,2
Aquarium,Harbor,3
Aquarium,Museum,5
Aquarium,Park,6
Fort,Beach,7
Fort,Temple,4
Fort,Park,5
Fort,Market,6
HillView,Park,4
HillView,Resort,3
HillView,Temple,5
HillView,Museum,6
Mall,Market,1
Mall,Hotel,2
Mall,Cafe,3
Mall,Museum,4
Pier,Harbor,1
Pier,Aquarium,2
Pier,Beach,3
Pier,Market,4
Garden,Park,1
Garden,Museum,2
Garden,Cafe,3
Garden,Temple,4
University,Museum,2
University,Park,3
University,Market,4
University,Hotel,5
Cinema,Mall,1
Cinema,Market,2
Cinema,Cafe,3
Cinema,Park,4
Hospital,Market,2
Hospital,Hotel,1
Hospital,Temple,3
Hospital,Park,4
Library,Museum,1
Library,University,2
Library,Park,3
Library,Market,4
Bridge,Harbor,2
Bridge,Market,3
Bridge,Beach,4
Bridge,Park,5
ClockTower,Market,1
ClockTower,Temple,2
ClockTower,Museum,3
ClockTower,Park,4

