StudentID,MeritScore,DistanceKM,Category,HostelPriority
S001,98,120,GEN,5
S002,96,45,OBC,4
S003,95,210,SC,5
S004,94,30,GEN,3
S005,93,180,ST,5
S006,92,60,OBC,4
S007,91,25,GEN,3
S008,90,300,SC,5
S009,89,150,OBC,4
S010,88,80,GEN,3
S011,87,220,ST,5
S012,86,90,OBC,4
S013,85,15,GEN,2
S014,84,160,SC,4
S015,83,250,ST,5
S016,82,100,GEN,3
S017,81,140,OBC,4
S018,80,35,GEN,3
S019,79,200,SC,4
S020,78,55,OBC,4
S021,77,270,ST,5
S022,76,20,GEN,2
S023,75,190,SC,4
S024,74,85,OBC,3
S025,73,310,ST,5
S026,72,40,GEN,3
S027,71,165,OBC,4
S028,70,230,SC,4
S029,69,95,GEN,3
S030,68,275,ST,5
S031,67,60,OBC,4
S032,66,110,GEN,3
S033,65,185,SC,4
S034,64,45,OBC,3
S035,63,260,ST,5
S036,62,130,GEN,3
S037,61,155,OBC,4
S038,60,205,SC,4
S039,59,70,GEN,3
S040,58,290,ST,5
S041,57,50,OBC,4
S042,56,145,GEN,3
S043,55,195,SC,4
S044,54,90,OBC,3
S045,53,315,ST,5
S046,52,65,GEN,3
S047,51,175,OBC,4
S048,50,225,SC,4
S049,49,100,GEN,3
S050,48,280,ST,5
S051,47,55,OBC,4
S052,46,135,GEN,3
S053,45,210,SC,4
S054,44,75,OBC,3
S055,43,320,ST,5
S056,42,60,GEN,3
S057,41,160,OBC,4
S058,40,240,SC,4
S059,39,85,GEN,3
S060,38,295,ST,5
S061,37,45,OBC,4
S062,36,120,GEN,3
S063,35,200,SC,4
S064,34,70,OBC,3
S065,33,330,ST,5
S066,32,55,GEN,3
S067,31,170,OBC,4
S068,30,260,SC,4
S069,29,90,GEN,3
S070,28,310,ST,5
S071,27,65,OBC,4
S072,26,140,GEN,3
S073,25,220,SC,4
S074,24,80,OBC,3
S075,23,340,ST,5
S076,22,60,GEN,3
S077,21,150,OBC,4
S078,20,240,SC,4
S079,19,95,GEN,3
S080,18,300,ST,5
S081,17,50,OBC,4
S082,16,130,GEN,3
S083,15,210,SC,4
S084,14,75,OBC,3
S085,13,350,ST,5
S086,12,65,GEN,3
S087,11,160,OBC,4
S088,10,260,SC,4
S089,9,100,GEN,3
S090,8,320,ST,5
S091,7,55,OBC,4
S092,6,145,GEN,3
S093,5,230,SC,4
S094,4,85,OBC,3
S095,3,360,ST,5
S096,2,70,GEN,3
S097,1,180,OBC,4
S098,0,250,SC,4
S099,99,400,ST,5
S100,97,10,GEN,2

