Sample_ID,Food_Type,Contaminant,Measured_PPM,Safe_Limit_PPM,Status
S001,Rice,Lead,0.12,0.20,SAFE
S002,Rice,Lead,0.28,0.20,UNSAFE
S003,Wheat,Cadmium,0.09,0.10,SAFE
S004,Wheat,Cadmium,0.15,0.10,UNSAFE
S005,Milk,Arsenic,0.04,0.05,SAFE
S006,Milk,Arsenic,0.08,0.05,UNSAFE
S007,Spinach,Nitrate,35,50,SAFE
S008,Spinach,Nitrate,78,50,UNSAFE
S009,Apple,Pesticide,0.6,1.0,SAFE
S010,Apple,Pesticide,1.4,1.0,UNSAFE
S011,Tomato,Pesticide,0.3,1.0,SAFE
S012,Tomato,Pesticide,1.6,1.0,UNSAFE
S013,Fish,Mercury,0.45,0.50,SAFE
S014,Fish,Mercury,0.78,0.50,UNSAFE
S015,Chicken,Antibiotic,0.02,0.05,SAFE
S016,Chicken,Antibiotic,0.09,0.05,UNSAFE
S017,Rice,Lead,0.11,0.20,SAFE
S018,Rice,Lead,0.31,0.20,UNSAFE
S019,Wheat,Cadmium,0.07,0.10,SAFE
S020,Wheat,Cadmium,0.14,0.10,UNSAFE
S021,Milk,Arsenic,0.03,0.05,SAFE
S022,Milk,Arsenic,0.07,0.05,UNSAFE
S023,Spinach,Nitrate,42,50,SAFE
S024,Spinach,Nitrate,90,50,UNSAFE
S025,Apple,Pesticide,0.4,1.0,SAFE
S026,Apple,Pesticide,1.9,1.0,UNSAFE
S027,Tomato,Pesticide,0.2,1.0,SAFE
S028,Tomato,Pesticide,1.3,1.0,UNSAFE
S029,Fish,Mercury,0.32,0.50,SAFE
S030,Fish,Mercury,0.91,0.50,UNSAFE
S031,Chicken,Antibiotic,0.01,0.05,SAFE
S032,Chicken,Antibiotic,0.11,0.05,UNSAFE
S033,Rice,Lead,0.18,0.20,SAFE
S034,Rice,Lead,0.27,0.20,UNSAFE
S035,Wheat,Cadmium,0.06,0.10,SAFE
S036,Wheat,Cadmium,0.16,0.10,UNSAFE
S037,Milk,Arsenic,0.02,0.05,SAFE
S038,Milk,Arsenic,0.06,0.05,UNSAFE
S039,Spinach,Nitrate,40,50,SAFE
S040,Spinach,Nitrate,88,50,UNSAFE
S041,Apple,Pesticide,0.5,1.0,SAFE
S042,Apple,Pesticide,1.8,1.0,UNSAFE
S043,Tomato,Pesticide,0.4,1.0,SAFE
S044,Tomato,Pesticide,1.5,1.0,UNSAFE
S045,Fish,Mercury,0.44,0.50,SAFE
S046,Fish,Mercury,0.82,0.50,UNSAFE
S047,Chicken,Antibiotic,0.03,0.05,SAFE
S048,Chicken,Antibiotic,0.10,0.05,UNSAFE
S049,Rice,Lead,0.15,0.20,SAFE
S050,Rice,Lead,0.29,0.20,UNSAFE
S051,Wheat,Cadmium,0.05,0.10,SAFE
S052,Wheat,Cadmium,0.13,0.10,UNSAFE
S053,Milk,Arsenic,0.01,0.05,SAFE
S054,Milk,Arsenic,0.09,0.05,UNSAFE
S055,Spinach,Nitrate,38,50,SAFE
S056,Spinach,Nitrate,95,50,UNSAFE
S057,Apple,Pesticide,0.7,1.0,SAFE
S058,Apple,Pesticide,2.1,1.0,UNSAFE
S059,Tomato,Pesticide,0.6,1.0,SAFE
S060,Tomato,Pesticide,1.7,1.0,UNSAFE
S061,Fish,Mercury,0.48,0.50,SAFE
S062,Fish,Mercury,0.99,0.50,UNSAFE
S063,Chicken,Antibiotic,0.02,0.05,SAFE
S064,Chicken,Antibiotic,0.12,0.05,UNSAFE
S065,Rice,Lead,0.19,0.20,SAFE
S066,Rice,Lead,0.33,0.20,UNSAFE
S067,Wheat,Cadmium,0.08,0.10,SAFE
S068,Wheat,Cadmium,0.18,0.10,UNSAFE
S069,Milk,Arsenic,0.04,0.05,SAFE
S070,Milk,Arsenic,0.10,0.05,UNSAFE
S071,Spinach,Nitrate,44,50,SAFE
S072,Spinach,Nitrate,85,50,UNSAFE
S073,Apple,Pesticide,0.9,1.0,SAFE
S074,Apple,Pesticide,2.3,1.0,UNSAFE
S075,Tomato,Pesticide,0.8,1.0,SAFE
S076,Tomato,Pesticide,1.9,1.0,UNSAFE
S077,Fish,Mercury,0.47,0.50,SAFE
S078,Fish,Mercury,1.02,0.50,UNSAFE
S079,Chicken,Antibiotic,0.04,0.05,SAFE
S080,Chicken,Antibiotic,0.14,0.05,UNSAFE
S081,Rice,Lead,0.16,0.20,SAFE
S082,Rice,Lead,0.35,0.20,UNSAFE
S083,Wheat,Cadmium,0.09,0.10,SAFE
S084,Wheat,Cadmium,0.19,0.10,UNSAFE
S085,Milk,Arsenic,0.02,0.05,SAFE
S086,Milk,Arsenic,0.11,0.05,UNSAFE
S087,Spinach,Nitrate,47,50,SAFE
S088,Spinach,Nitrate,92,50,UNSAFE
S089,Apple,Pesticide,0.8,1.0,SAFE
S090,Apple,Pesticide,2.0,1.0,UNSAFE
S091,Tomato,Pesticide,0.5,1.0,SAFE
S092,Tomato,Pesticide,1.6,1.0,UNSAFE
S093,Fish,Mercury,0.49,0.50,SAFE
S094,Fish,Mercury,1.05,0.50,UNSAFE
S095,Chicken,Antibiotic,0.03,0.05,SAFE
S096,Chicken,Antibiotic,0.15,0.05,UNSAFE
S097,Rice,Lead,0.14,0.20,SAFE
S098,Rice,Lead,0.38,0.20,UNSAFE
S099,Wheat,Cadmium,0.07,0.10,SAFE
S100,Wheat,Cadmium,0.21,0.10,UNSAFE

